;Nº DO CHAMADO;DATA DE CRIAÇÃO;RESPONSÁVEL;DATA DA VISTORIA;PRIORIDADE;STATUS;DESCRICÃO DO PROBLEMA;Colunas2;Colunas1;Coluna2;LOGRADOURO;BAIRRO;CONTATO;CENTRO DE CUSTO;SOLICITANTE;ORIGEM DA DEMANDA;DATA DE INICIO;DURAÇÃO PREVISTA;TÉRMINO PREVISTO;TÉRMINO REAL;% CONCLUÍDA;DIAS DE ATRASO;;Base de dados AB;;Prioridade;STATUS;QTD.;%;;;;;;;
616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
672;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
683;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
736;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
743;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
746;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
770;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
771;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
774;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
784;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
